year,nuts_id,nuts_year_spec,gbp_research_income
2015,UKH2,2018,68415000.0
2016,UKH2,2018,65938000.0
2017,UKH2,2018,66830000.0
2015,UKJ1,2018,760879000.0
2016,UKJ1,2018,794974000.0
2017,UKJ1,2018,811415000.0
2015,UKD6,2018,2814000.0
2016,UKD6,2018,2216000.0
2017,UKD6,2018,3889000.0
2015,UKK3,2018,896000.0
2016,UKK3,2018,1179000.0
2017,UKK3,2018,1303000.0
2015,UKD1,2018,531000.0
2016,UKD1,2018,610000.0
2017,UKD1,2018,806000.0
2015,UKF1,2018,185892000.0
2016,UKF1,2018,186900000.0
2017,UKF1,2018,184596000.0
2015,UKK4,2018,106993000.0
2016,UKK4,2018,116385000.0
2017,UKK4,2018,121483000.0
2015,UKK2,2018,7807000.0
2016,UKK2,2018,7317000.0
2017,UKK2,2018,8314000.0
2015,UKH1,2018,640478000.0
2016,UKH1,2018,639792000.0
2017,UKH1,2018,709098000.0
2015,UKL2,2018,161482000.0
2016,UKL2,2018,147422000.0
2017,UKL2,2018,143736000.0
2015,UKE1,2018,19625000.0
2016,UKE1,2018,18130000.0
2017,UKE1,2018,17674000.0
2015,UKM7,2018,624077000.0
2016,UKM7,2018,602900000.0
2017,UKM7,2018,621616000.0
2015,UKH3,2018,40841000.0
2016,UKH3,2018,46709000.0
2017,UKH3,2018,46409000.0
2015,UKK1,2018,270268000.0
2016,UKK1,2018,281073000.0
2017,UKK1,2018,293882000.0
2015,UKD3,2018,366059000.0
2016,UKD3,2018,356437000.0
2017,UKD3,2018,395175000.0
2015,UKJ3,2018,171735000.0
2016,UKJ3,2018,198069000.0
2017,UKJ3,2018,179262000.0
2015,UKG1,2018,1957000.0
2016,UKG1,2018,2267000.0
2017,UKG1,2018,1966000.0
2015,UKM6,2018,15683000.0
2016,UKM6,2018,17464000.0
2017,UKM6,2018,21203000.0
2015,UKI4,2018,177982000.0
2016,UKI4,2018,185335000.0
2017,UKI4,2018,181832000.0
2015,UKI3,2018,1717932000.0
2016,UKI3,2018,1676658000.0
2017,UKI3,2018,1734826000.0
2015,UKJ4,2018,34206000.0
2016,UKJ4,2018,33314000.0
2017,UKJ4,2018,36435000.0
2015,UKD4,2018,68615000.0
2016,UKD4,2018,69457000.0
2017,UKD4,2018,73138000.0
2015,UKF2,2018,137591000.0
2016,UKF2,2018,142779000.0
2017,UKF2,2018,145477000.0
2015,UKF3,2018,9490000.0
2016,UKF3,2018,12243000.0
2017,UKF3,2018,12076000.0
2015,UKD7,2018,138197000.0
2016,UKD7,2018,139186000.0
2017,UKD7,2018,138946000.0
2015,UKM5,2018,92576000.0
2016,UKM5,2018,88492000.0
2017,UKM5,2018,82919000.0
2015,UKE2,2018,88137000.0
2016,UKE2,2018,89641000.0
2017,UKE2,2018,94978000.0
2015,UKN0,2018,144340000.0
2016,UKN0,2018,151403000.0
2017,UKN0,2018,167000000.0
2015,UKC2,2018,159301000.0
2016,UKC2,2018,156938000.0
2017,UKC2,2018,159548000.0
2015,UKI5,2018,18483000.0
2016,UKI5,2018,16536000.0
2017,UKI5,2018,17768000.0
2015,UKI6,2018,6928000.0
2016,UKI6,2018,7020000.0
2017,UKI6,2018,7618000.0
2015,UKI7,2018,45126000.0
2016,UKI7,2018,44020000.0
2017,UKI7,2018,46383000.0
2015,UKG2,2018,29555000.0
2016,UKG2,2018,31308000.0
2017,UKG2,2018,30215000.0
2015,UKE3,2018,223692000.0
2016,UKE3,2018,211595000.0
2017,UKE3,2018,252755000.0
2015,UKJ2,2018,147798000.0
2016,UKJ2,2018,148239000.0
2017,UKJ2,2018,151171000.0
2015,UKC1,2018,80683000.0
2016,UKC1,2018,82507000.0
2017,UKC1,2018,81711000.0
2015,UKM8,2018,336887000.0
2016,UKM8,2018,344017000.0
2017,UKM8,2018,349199000.0
2015,UKG3,2018,369578000.0
2016,UKG3,2018,370176000.0
2017,UKG3,2018,385036000.0
2015,UKL1,2018,117591000.0
2016,UKL1,2018,116378000.0
2017,UKL1,2018,125192000.0
2015,UKE4,2018,202427000.0
2016,UKE4,2018,207754000.0
2017,UKE4,2018,215892000.0
