year,nuts_id,nuts_year_spec,cash_as_proportion_public_funding
2015,UKC1,2013,inf
2015,UKC2,2013,0.22
2015,UKD1,2013,0.03
2015,UKD3,2013,inf
2015,UKD4,2013,0.07
2015,UKD7,2013,0.09
2015,UKE1,2013,0.02
2015,UKE2,2013,0.03
2015,UKE3,2013,0.08
2015,UKE4,2013,0.29
2015,UKF1,2013,0.07
2015,UKF2,2013,0.63
2015,UKF3,2013,0.05
2015,UKG1,2013,0.03
2015,UKG2,2013,0.31
2015,UKG3,2013,0.11
2015,UKH1,2013,0.03
2015,UKH2,2013,0.22
2015,UKH3,2013,0.15
2015,UKI3,2013,0.27
2015,UKI4,2013,inf
2015,UKI5,2013,inf
2015,UKI6,2013,0.11
2015,UKI7,2013,0.34
2015,UKJ1,2013,0.17
2015,UKJ2,2013,0.15
2015,UKJ3,2013,0.01
2015,UKJ4,2013,0.27
2015,UKK1,2013,0.51
2015,UKK2,2013,0.06
2015,UKK3,2013,0.54
2015,UKK4,2013,0.11
2015,UKL1,2013,0.31
2015,UKL2,2013,0.1
2015,UKM2,2013,0.31
2015,UKM3,2013,0.4
2015,UKM5,2013,0.23
2015,UKM6,2013,0.57
2015,UKN0,2013,0.09
2016,UKC1,2016,inf
2016,UKC2,2016,0.17
2016,UKD3,2016,inf
2016,UKD4,2016,0.06
2016,UKD6,2016,6.92
2016,UKD7,2016,0.11
2016,UKE1,2016,0.04
2016,UKE2,2016,0.02
2016,UKE3,2016,0.09
2016,UKE4,2016,0.68
2016,UKF1,2016,0.1
2016,UKF2,2016,0.19
2016,UKF3,2016,0.05
2016,UKG1,2016,0.02
2016,UKG2,2016,0.32
2016,UKG3,2016,0.08
2016,UKH1,2016,0.03
2016,UKH2,2016,0.25
2016,UKH3,2016,0.12
2016,UKI3,2016,inf
2016,UKI4,2016,inf
2016,UKI5,2016,inf
2016,UKI6,2016,0.13
2016,UKI7,2016,0.91
2016,UKJ1,2016,inf
2016,UKJ2,2016,0.06
2016,UKJ3,2016,0.05
2016,UKJ4,2016,4.2
2016,UKK1,2016,0.07
2016,UKK2,2016,0.23
2016,UKK3,2016,0.93
2016,UKK4,2016,0.07
2016,UKL1,2016,0.23
2016,UKL2,2016,0.06
2016,UKM5,2016,0.16
2016,UKM6,2016,0.07
2016,UKM7,2016,0.22
2016,UKM8,2016,0.3
2016,UKN0,2016,0.09
2017,UKC1,2016,inf
2017,UKC2,2016,0.19
2017,UKD3,2016,0.22
2017,UKD4,2016,0.1
2017,UKD6,2016,0.0
2017,UKD7,2016,0.21
2017,UKE1,2016,0.05
2017,UKE2,2016,0.05
2017,UKE3,2016,0.15
2017,UKE4,2016,0.68
2017,UKF1,2016,0.21
2017,UKF2,2016,0.16
2017,UKF3,2016,0.04
2017,UKG1,2016,0.01
2017,UKG2,2016,inf
2017,UKG3,2016,0.09
2017,UKH1,2016,0.04
2017,UKH2,2016,0.32
2017,UKH3,2016,0.22
2017,UKI3,2016,0.26
2017,UKI4,2016,inf
2017,UKI5,2016,inf
2017,UKI6,2016,0.07
2017,UKI7,2016,2.44
2017,UKJ1,2016,inf
2017,UKJ2,2016,0.07
2017,UKJ3,2016,0.03
2017,UKJ4,2016,0.2
2017,UKK1,2016,0.07
2017,UKK2,2016,0.09
2017,UKK3,2016,1.88
2017,UKK4,2016,0.04
2017,UKL1,2016,0.3
2017,UKL2,2016,0.12
2017,UKM5,2016,0.18
2017,UKM6,2016,0.14
2017,UKM7,2016,inf
2017,UKM8,2016,0.36
2017,UKN0,2016,0.07
2018,UKC1,2016,inf
2018,UKC2,2016,0.18
2018,UKD1,2016,0.0
2018,UKD3,2016,0.12
2018,UKD4,2016,0.09
2018,UKD6,2016,0.0
2018,UKD7,2016,0.46
2018,UKE1,2016,0.13
2018,UKE2,2016,0.05
2018,UKE3,2016,0.11
2018,UKE4,2016,0.92
2018,UKF1,2016,0.25
2018,UKF2,2016,0.28
2018,UKF3,2016,0.09
2018,UKG1,2016,0.0
2018,UKG2,2016,inf
2018,UKG3,2016,0.1
2018,UKH1,2016,0.08
2018,UKH2,2016,0.19
2018,UKH3,2016,0.22
2018,UKI3,2016,0.26
2018,UKI4,2016,inf
2018,UKI5,2016,inf
2018,UKI6,2016,0.16
2018,UKI7,2016,0.0
2018,UKJ1,2016,inf
2018,UKJ2,2016,0.06
2018,UKJ3,2016,0.02
2018,UKJ4,2016,0.11
2018,UKK1,2016,0.03
2018,UKK2,2016,0.05
2018,UKK3,2016,1.18
2018,UKK4,2016,0.06
2018,UKL1,2016,0.44
2018,UKL2,2016,0.05
2018,UKM5,2016,0.17
2018,UKM6,2016,0.06
2018,UKM7,2016,0.65
2018,UKM8,2016,0.51
2018,UKN0,2016,0.07
